#,Date-Time (HST),Temperature   (Â°C),Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/03/2024 16:00:00,30.16,6561.28,,,,
2,07/03/2024 16:30:00,30.76,2332.16,,,,
3,07/03/2024 17:00:00,30.89,1745.92,,,,
4,07/03/2024 17:30:00,31.01,3732.48,,,,
5,07/03/2024 18:00:00,30.80,1146.24,,,,
6,07/03/2024 18:30:00,30.63,705.28,,,,
7,07/03/2024 19:00:00,30.54,171.92,,,,
8,07/03/2024 19:30:00,30.50,7.66,,,,
9,07/03/2024 20:00:00,30.50,0.00,,,,
10,07/03/2024 20:30:00,30.50,0.00,,,,
11,07/03/2024 21:00:00,30.54,0.00,,,,
12,07/03/2024 21:30:00,30.54,0.00,,,,
13,07/03/2024 22:00:00,30.67,0.00,,,,
14,07/03/2024 22:30:00,30.76,0.00,,,,
15,07/03/2024 23:00:00,30.80,0.00,,,,
16,07/03/2024 23:30:00,30.89,0.00,,,,
17,07/04/2024 00:00:00,30.84,0.00,,,,
18,07/04/2024 00:30:00,30.67,0.00,,,,
19,07/04/2024 01:00:00,30.71,0.00,,,,
20,07/04/2024 01:30:00,30.67,0.00,,,,
21,07/04/2024 02:00:00,30.59,0.00,,,,
22,07/04/2024 02:30:00,30.59,0.00,,,,
23,07/04/2024 03:00:00,30.54,0.00,,,,
24,07/04/2024 03:30:00,30.71,0.00,,,,
25,07/04/2024 04:00:00,30.71,0.00,,,,
26,07/04/2024 04:30:00,30.80,0.00,,,,
27,07/04/2024 05:00:00,30.84,0.00,,,,
28,07/04/2024 05:30:00,30.84,0.21,,,,
29,07/04/2024 06:00:00,30.80,150.92,,,,
30,07/04/2024 06:30:00,30.54,687.68,,,,
31,07/04/2024 07:00:00,30.63,1665.28,,,,
32,07/04/2024 07:30:00,30.76,1554.56,,,,
33,07/04/2024 07:38:58,,,Logged,Logged,,
34,07/04/2024 07:39:04,,,,,Logged,Logged
